engine,output_name,rule_index,rule_name,if_then_statement,weight,description
collision,risk_level,1,r1_close_baseline,IF front_distance IS close THEN risk_level IS high,1.00,Short spacing should already be considered high risk before other factors are added.
collision,risk_level,2,r2_medium_gap_baseline,IF front_distance IS medium THEN risk_level IS medium,1.00,A medium following gap is a moderate baseline condition.
collision,risk_level,3,r3_far_gap_baseline,IF front_distance IS far THEN risk_level IS low,1.00,A large following gap starts from a low-risk baseline.
collision,risk_level,4,r4_high_speed_baseline,IF speed IS high THEN risk_level IS medium,0.55,Very high speed should raise risk even before spacing is considered.
collision,risk_level,5,r5_poor_road_baseline,IF road_condition IS poor THEN risk_level IS medium,0.65,Poor grip raises risk independent of spacing.
collision,risk_level,6,r6_close_highspeed,IF front_distance IS close AND speed IS high THEN risk_level IS critical,1.00,Close spacing at high speed is immediately critical.
collision,risk_level,7,r7_close_medspeed,IF front_distance IS close AND speed IS medium THEN risk_level IS high,1.00,Close spacing at medium speed remains strongly hazardous.
collision,risk_level,8,r8_close_lowspeed,IF front_distance IS close AND speed IS low THEN risk_level IS medium,0.85,Short spacing at low speed is still non-negligible.
collision,risk_level,9,r9_close_poorroad,IF front_distance IS close AND road_condition IS poor THEN risk_level IS critical,1.00,Poor grip turns short spacing into a critical condition.
collision,risk_level,10,r10_close_normalroad,IF front_distance IS close AND road_condition IS normal THEN risk_level IS high,1.00,Normal grip does not make a short headway safe.
collision,risk_level,11,r11_medium_highspeed,IF front_distance IS medium AND speed IS high THEN risk_level IS high,1.00,A medium gap can become risky when speed is high.
collision,risk_level,12,r12_medium_medspeed_goodroad,IF front_distance IS medium AND speed IS medium AND road_condition IS good THEN risk_level IS low,1.00,A healthy road surface makes medium spacing at cruise speed relatively safe.
collision,risk_level,13,r13_medium_medspeed_poorroad,IF front_distance IS medium AND speed IS medium AND road_condition IS poor THEN risk_level IS high,1.00,Moderate speed with degraded grip elevates a medium gap to high risk.
collision,risk_level,14,r14_medium_lowspeed_goodroad,IF front_distance IS medium AND speed IS low AND road_condition IS good THEN risk_level IS low,1.00,Low speed and good grip make a medium gap comfortable.
collision,risk_level,15,r15_far_highspeed_goodroad,IF front_distance IS far AND speed IS high AND road_condition IS good THEN risk_level IS low,0.85,A very large gap and good grip offset much of the high-speed risk.
collision,risk_level,16,r16_far_highspeed_poorroad,IF front_distance IS far AND speed IS high AND road_condition IS poor THEN risk_level IS medium,1.00,Poor grip keeps some residual risk even when spacing is large.
collision,risk_level,17,r17_far_medspeed,IF front_distance IS far AND speed IS medium THEN risk_level IS low,1.00,Long spacing at moderate speed should remain low risk.
collision,risk_level,18,r18_far_lowspeed,IF front_distance IS far AND speed IS low THEN risk_level IS low,1.00,Long spacing at low speed is safely low risk.
lane,lane_stability,1,r1_farleft_baseline,IF lane_deviation IS far_left THEN lane_stability IS strong_right,1.00,A large left offset requires a strong right correction as a baseline.
lane,lane_stability,2,r2_left_baseline,IF lane_deviation IS left THEN lane_stability IS right,1.00,A left offset should request a right correction.
lane,lane_stability,3,r3_centered_baseline,IF lane_deviation IS centered THEN lane_stability IS centered,1.00,A centered vehicle should default to lane keeping.
lane,lane_stability,4,r4_right_baseline,IF lane_deviation IS right THEN lane_stability IS left,1.00,A right offset should request a left correction.
lane,lane_stability,5,r5_farright_baseline,IF lane_deviation IS far_right THEN lane_stability IS strong_left,1.00,A large right offset requires a strong left correction as a baseline.
lane,lane_stability,6,r6_left_highspeed,IF lane_deviation IS left AND speed IS high THEN lane_stability IS strong_right,1.00,"At high speed, moderate left drift requires stronger correction."
lane,lane_stability,7,r7_right_highspeed,IF lane_deviation IS right AND speed IS high THEN lane_stability IS strong_left,1.00,"At high speed, moderate right drift requires stronger correction."
lane,lane_stability,8,r8_left_unstable,IF lane_deviation IS left AND steering_stability IS unstable THEN lane_stability IS strong_right,1.00,Unstable steering amplifies left-drift urgency.
lane,lane_stability,9,r9_right_unstable,IF lane_deviation IS right AND steering_stability IS unstable THEN lane_stability IS strong_left,1.00,Unstable steering amplifies right-drift urgency.
lane,lane_stability,10,r10_farleft_stable,IF lane_deviation IS far_left AND steering_stability IS stable THEN lane_stability IS right,0.80,Stable steering allows a slightly softer recovery from far-left deviation.
lane,lane_stability,11,r11_farright_stable,IF lane_deviation IS far_right AND steering_stability IS stable THEN lane_stability IS left,0.80,Stable steering allows a slightly softer recovery from far-right deviation.
lane,lane_stability,12,r12_farleft_highspeed,IF lane_deviation IS far_left AND speed IS high THEN lane_stability IS strong_right,1.00,A large left offset at high speed remains a severe event.
lane,lane_stability,13,r13_farright_highspeed,IF lane_deviation IS far_right AND speed IS high THEN lane_stability IS strong_left,1.00,A large right offset at high speed remains a severe event.
lane,lane_stability,14,r14_centered_unstable,IF lane_deviation IS centered AND steering_stability IS unstable THEN lane_stability IS centered,1.00,Steering noise without lane error should not introduce a directional steering bias.
lane,lane_stability,15,r15_left_lowspeed_stable,IF lane_deviation IS left AND speed IS low AND steering_stability IS stable THEN lane_stability IS right,1.00,At low speed a moderate right correction is enough for left drift.
lane,lane_stability,16,r16_right_lowspeed_stable,IF lane_deviation IS right AND speed IS low AND steering_stability IS stable THEN lane_stability IS left,1.00,At low speed a moderate left correction is enough for right drift.
comfort,comfort_efficiency,1,r1_light_traffic_baseline,IF traffic_density IS light THEN comfort_efficiency IS high,1.00,Light traffic supports a comfort-oriented pace as a baseline.
comfort,comfort_efficiency,2,r2_moderate_traffic_baseline,IF traffic_density IS moderate THEN comfort_efficiency IS medium,1.00,Moderate traffic encourages a balanced comfort-efficiency target.
comfort,comfort_efficiency,3,r3_heavy_traffic_baseline,IF traffic_density IS heavy THEN comfort_efficiency IS low,1.00,Dense traffic suppresses the desire to preserve speed.
comfort,comfort_efficiency,4,r4_downhill_baseline,IF road_slope IS downhill THEN comfort_efficiency IS high,0.70,Downhill travel naturally favors smooth momentum retention.
comfort,comfort_efficiency,5,r5_flat_baseline,IF road_slope IS flat THEN comfort_efficiency IS medium,0.70,Flat roads produce a neutral baseline comfort target.
comfort,comfort_efficiency,6,r6_uphill_baseline,IF road_slope IS uphill THEN comfort_efficiency IS low,0.75,Uphill travel reduces comfort-oriented speed retention.
comfort,comfort_efficiency,7,r7_flat_light_mediumspeed,IF road_slope IS flat AND traffic_density IS light AND current_speed IS medium THEN comfort_efficiency IS high,1.00,"Flat road, light traffic, and cruise speed favor maintaining pace."
comfort,comfort_efficiency,8,r8_flat_moderate_mediumspeed,IF road_slope IS flat AND traffic_density IS moderate AND current_speed IS medium THEN comfort_efficiency IS high,1.00,Moderate traffic still supports efficient cruising on flat terrain.
comfort,comfort_efficiency,9,r9_uphill_heavy,IF road_slope IS uphill AND traffic_density IS heavy THEN comfort_efficiency IS low,1.00,Uphill driving in dense traffic discourages aggressive pace keeping.
comfort,comfort_efficiency,10,r10_uphill_highspeed,IF road_slope IS uphill AND current_speed IS high THEN comfort_efficiency IS low,1.00,High-speed uphill travel reduces comfort and efficiency.
comfort,comfort_efficiency,11,r11_uphill_light_lowspeed,IF road_slope IS uphill AND traffic_density IS light AND current_speed IS low THEN comfort_efficiency IS medium,1.00,Low speed on an uphill road can remain balanced when traffic is light.
comfort,comfort_efficiency,12,r12_downhill_light_mediumspeed,IF road_slope IS downhill AND traffic_density IS light AND current_speed IS medium THEN comfort_efficiency IS high,1.00,A mild downhill with light traffic favors smooth momentum retention.
comfort,comfort_efficiency,13,r13_downhill_highspeed,IF road_slope IS downhill AND current_speed IS high THEN comfort_efficiency IS medium,1.00,Downhill motion at high speed should moderate comfort-driven acceleration.
comfort,comfort_efficiency,14,r14_heavy_highspeed,IF traffic_density IS heavy AND current_speed IS high THEN comfort_efficiency IS low,1.00,Dense traffic at high speed should suppress efficiency bias.
comfort,comfort_efficiency,15,r15_heavy_lowspeed,IF traffic_density IS heavy AND current_speed IS low THEN comfort_efficiency IS medium,1.00,"Low speed in heavy traffic supports a balanced, patient style."
comfort,comfort_efficiency,16,r16_flat_heavy_lowspeed,IF road_slope IS flat AND traffic_density IS heavy AND current_speed IS low THEN comfort_efficiency IS medium,1.00,"Flat roads remove some burden, but traffic still constrains comfort bias."
comfort,comfort_efficiency,17,r17_flat_light_highspeed,IF road_slope IS flat AND traffic_density IS light AND current_speed IS high THEN comfort_efficiency IS medium,1.00,"Open road invites pace keeping, but very high speed softens the comfort target."
comfort,comfort_efficiency,18,r18_downhill_moderate_lowspeed,IF road_slope IS downhill AND traffic_density IS moderate AND current_speed IS low THEN comfort_efficiency IS high,0.90,Gentle downhill motion at low speed and moderate traffic invites smooth acceleration.
meta,throttle_command,1,t1_critical_risk,IF risk_level IS critical THEN throttle_command IS zero,1.00,Critical risk removes throttle authority.
meta,throttle_command,2,t2_high_risk,IF risk_level IS high THEN throttle_command IS zero,1.00,High risk strongly suppresses throttle.
meta,throttle_command,3,t3_medium_risk_baseline,IF risk_level IS medium THEN throttle_command IS light,1.00,Medium risk should keep throttle conservative by default.
meta,throttle_command,4,t4_low_risk_baseline,IF risk_level IS low THEN throttle_command IS medium,1.00,Low risk allows moderate throttle as a baseline.
meta,throttle_command,5,t5_strong_left_lateral,IF lane_stability IS strong_left THEN throttle_command IS zero,0.85,Strong left steering demand should suppress throttle to help stabilization.
meta,throttle_command,6,t6_strong_right_lateral,IF lane_stability IS strong_right THEN throttle_command IS zero,0.85,Strong right steering demand should suppress throttle to help stabilization.
meta,throttle_command,7,t7_left_lateral,IF lane_stability IS left THEN throttle_command IS light,1.00,Moderate left steering demand should soften throttle.
meta,throttle_command,8,t8_right_lateral,IF lane_stability IS right THEN throttle_command IS light,1.00,Moderate right steering demand should soften throttle.
meta,throttle_command,9,t9_lowrisk_centered_highcomfort,IF risk_level IS low AND lane_stability IS centered AND comfort_efficiency IS high THEN throttle_command IS strong,1.00,"Low risk, centered lane, and high comfort preference invite stronger throttle."
meta,throttle_command,10,t10_lowrisk_centered_mediumcomfort,IF risk_level IS low AND lane_stability IS centered AND comfort_efficiency IS medium THEN throttle_command IS medium,1.00,Low risk with balanced comfort supports moderate throttle.
meta,throttle_command,11,t11_lowrisk_centered_lowcomfort,IF risk_level IS low AND lane_stability IS centered AND comfort_efficiency IS low THEN throttle_command IS light,1.00,Low comfort preference restrains throttle even when risk is low.
meta,throttle_command,12,t12_mediumrisk_centered_highcomfort,IF risk_level IS medium AND lane_stability IS centered AND comfort_efficiency IS high THEN throttle_command IS medium,0.85,"When only moderately risky and laterally stable, comfort can keep some throttle."
meta,throttle_command,13,t13_mediumrisk_centered_mediumcomfort,IF risk_level IS medium AND lane_stability IS centered AND comfort_efficiency IS medium THEN throttle_command IS light,1.00,Balanced medium-risk conditions justify only light throttle.
meta,throttle_command,14,t14_highrisk_centered_highcomfort,IF risk_level IS high AND comfort_efficiency IS high AND lane_stability IS centered THEN throttle_command IS light,0.35,A residual comfort preference may keep only a trace of throttle when risk is high.
meta,brake_command,1,b1_critical_risk,IF risk_level IS critical THEN brake_command IS hard,1.00,Critical risk demands hard braking.
meta,brake_command,2,b2_high_risk,IF risk_level IS high THEN brake_command IS hard,1.00,High risk requires decisive braking.
meta,brake_command,3,b3_medium_risk_baseline,IF risk_level IS medium THEN brake_command IS light,1.00,Medium risk should produce at least light braking by default.
meta,brake_command,4,b4_low_risk_baseline,IF risk_level IS low THEN brake_command IS none,1.00,Low risk alone does not require braking.
meta,brake_command,5,b5_strong_left_lateral,IF lane_stability IS strong_left THEN brake_command IS medium,0.75,Severe left steering demand benefits from stabilizing braking.
meta,brake_command,6,b6_strong_right_lateral,IF lane_stability IS strong_right THEN brake_command IS medium,0.75,Severe right steering demand benefits from stabilizing braking.
meta,brake_command,7,b7_left_lateral,IF lane_stability IS left THEN brake_command IS light,0.65,Moderate left steering demand can justify light braking.
meta,brake_command,8,b8_right_lateral,IF lane_stability IS right THEN brake_command IS light,0.65,Moderate right steering demand can justify light braking.
meta,brake_command,9,b9_mediumrisk_strongleft,IF risk_level IS medium AND lane_stability IS strong_left THEN brake_command IS medium,1.00,Medium risk with large left correction demand calls for stabilizing braking.
meta,brake_command,10,b10_mediumrisk_strongright,IF risk_level IS medium AND lane_stability IS strong_right THEN brake_command IS medium,1.00,Medium risk with large right correction demand calls for stabilizing braking.
meta,brake_command,11,b11_highrisk_strongleft,IF risk_level IS high AND lane_stability IS strong_left THEN brake_command IS hard,1.00,High risk and severe left lateral demand justify hard braking.
meta,brake_command,12,b12_highrisk_strongright,IF risk_level IS high AND lane_stability IS strong_right THEN brake_command IS hard,1.00,High risk and severe right lateral demand justify hard braking.
meta,brake_command,13,b13_lowrisk_centered_highcomfort,IF risk_level IS low AND lane_stability IS centered AND comfort_efficiency IS high THEN brake_command IS none,1.00,Low-risk comfortable cruising should avoid unnecessary braking.
meta,brake_command,14,b14_mediumrisk_centered_highcomfort,IF risk_level IS medium AND comfort_efficiency IS high AND lane_stability IS centered THEN brake_command IS none,0.45,Comfort introduces a competing no-brake tendency in medium risk.
meta,brake_command,15,b15_highrisk_centered_highcomfort,IF risk_level IS high AND comfort_efficiency IS high AND lane_stability IS centered THEN brake_command IS medium,0.50,High comfort adds a softer competing brake tendency against stronger safety rules.
meta,steering_correction,1,s1_strongleft,IF lane_stability IS strong_left THEN steering_correction IS steer_left_hard,1.00,A strong-left lane index maps to a hard left steering request.
meta,steering_correction,2,s2_left,IF lane_stability IS left THEN steering_correction IS steer_left,1.00,Left correction demand maps to left steering.
meta,steering_correction,3,s3_centered,IF lane_stability IS centered THEN steering_correction IS keep,1.00,Centered lane state keeps the wheel near neutral.
meta,steering_correction,4,s4_right,IF lane_stability IS right THEN steering_correction IS steer_right,1.00,Right correction demand maps to right steering.
meta,steering_correction,5,s5_strongright,IF lane_stability IS strong_right THEN steering_correction IS steer_right_hard,1.00,A strong-right lane index maps to a hard right steering request.
meta,steering_correction,6,s6_highrisk_strongleft,IF risk_level IS high AND lane_stability IS strong_left THEN steering_correction IS steer_left,0.80,High risk tempers a hard left correction into a slightly softer maneuver.
meta,steering_correction,7,s7_highrisk_strongright,IF risk_level IS high AND lane_stability IS strong_right THEN steering_correction IS steer_right,0.80,High risk tempers a hard right correction into a slightly softer maneuver.
meta,steering_correction,8,s8_critical_strongleft,IF risk_level IS critical AND lane_stability IS strong_left THEN steering_correction IS steer_left,0.90,Critical risk discourages very abrupt steering while braking heavily.
meta,steering_correction,9,s9_critical_strongright,IF risk_level IS critical AND lane_stability IS strong_right THEN steering_correction IS steer_right,0.90,Critical risk discourages very abrupt steering while braking heavily.
meta,steering_correction,10,s10_centered_highcomfort,IF lane_stability IS centered AND comfort_efficiency IS high THEN steering_correction IS keep,1.00,High comfort preference reinforces smooth lane keeping.
